2015-09-22 17:41:26,898 NXQ_00001	1	4112	Proteins phosphorylated and located in the cytoplasm	
2015-09-22 17:41:27,516 NXQ_00002	0	3759	Proteins that are located in both the cytoplasm and in the nucleus	
2015-09-22 17:41:27,684 NXQ_00003	0	978	Proteins with 7 transmembrane regions	
2015-09-22 17:42:04,296 NXQ_00004	36	57	Proteins highly expressed in brain but not expressed in testis	
2015-09-22 17:42:04,410 NXQ_00005	0	909	Proteins located in mitochondrion and that lack a transit peptide	
2015-09-22 17:42:04,454 NXQ_00006	0	69	Proteins whose genes are on chromosome 13 and are associated with a disease	
2015-09-22 17:42:04,702 NXQ_00007	0	245	Proteins associated with diseases that are associated with cardiovascular aspects	
2015-09-22 17:42:04,805 NXQ_00008	0	5	Proteins whose genes are less than 50000 bp away from the location of the gene coding for protein p53	
2015-09-22 17:42:06,523 NXQ_00009	1	488	Proteins with 3 disulfide bonds and that are not annotated as hormones 	
2015-09-22 17:42:06,695 NXQ_00010	0	1966	Proteins that are glycosylated and are not located in the membrane	
2015-09-22 17:42:11,552 NXQ_00011	4	1538	Proteins that are expressed in liver and involved in transport	
2015-09-22 17:42:11,578 NXQ_00012	0	8	Proteins that interact with protein RBM17 and that are involved in splicing	
2015-09-22 17:42:11,632 NXQ_00013	0	29	Proteins that have a protein kinase domain but lack protein kinase activity	
2015-09-22 17:42:11,661 NXQ_00014	0	9	Proteins with one SH2 and two SH3 domains	
2015-09-22 17:42:13,225 NXQ_00015	1	132	Proteins with a PDZ domain that interact with at least one protein which is expressed in brain	
2015-09-22 17:42:13,317 NXQ_00016	0	163	Proteins with a mature chain of less than 1000 amino acids which are secreted and do not contain cysteines in the mature chain	
2015-09-22 17:42:13,706 NXQ_00017	0	1045	Proteins larger than 1000 amino acids that are located in the nucleus and expressed in the nervous system	
2015-09-22 17:42:13,762 NXQ_00018	0	272	Proteins that are acetylated and methylated and located in the nucleus	
2015-09-22 17:42:13,784 NXQ_00019	0	21	Proteins with more than 12 WD repeats (ie: with at least two beta-propellers)	
2015-09-22 17:42:16,382 NXQ_00020	2	5	Proteins with at least 2 HPA antibodies whose genes are located on chromosome 21 and that are highly expressed at IHC level in heart	
2015-09-22 17:42:16,413 NXQ_00021	0	118	Proteins with at least one HPA antibody that are located in the peroxisome	
2015-09-22 17:42:16,483 NXQ_00022	0	2183	Proteins with no function annotated 	
2015-09-22 17:42:17,338 NXQ_00023	0	1695	Proteins that are involved in transport and located in a membrane and that are not glycosylated (experimentally or predicted)	
2015-09-22 17:42:18,727 NXQ_00024	1	700	Proteins with more than 10 reported interactions (of 'gold' quality)	
2015-09-22 17:42:21,117 NXQ_00025	2	396	Proteins with at least 50 interactors that are not associated with a disease	
2015-09-22 17:42:21,463 NXQ_00026	0	4369	Proteins interacting with at least one protein which are located in the mitochondrion	
2015-09-22 17:42:21,701 NXQ_00027	0	327	Proteins with one or more glycosylation sites reported in PubMed:20570859 or PubMed:14760718	
2015-09-22 17:42:28,777 NXQ_00028	7	1442	Proteins associated with a disease but without a disease-linked variant	
2015-09-22 17:42:28,806 NXQ_00029	0	124	Proteins anchored to the membrane via a GPI-anchor	
2015-09-22 17:42:28,849 NXQ_00030	0	375	Proteins whose gene is located in chromosome 2 that belongs to families with at least 5 members in the human proteome	
2015-09-22 17:42:28,907 NXQ_00031	0	92	Proteins with more than 10 alternative isoforms	
2015-09-22 17:42:29,325 NXQ_00032	0	303	Proteins with a coiled coil region and that are involved in transcription but do not contain a bZIP domain	
2015-09-22 17:42:29,419 NXQ_00033	0	319	Proteins with at least one phosphotyrosine but no phosphoserine or phosphothreonine	
2015-09-22 17:42:29,512 NXQ_00034	0	233	Proteins with at least one homeobox domain and with at least one variant in the homeobox domain(s)	
2015-09-22 17:42:29,545 NXQ_00035	0	570	Proteins located in the mitochondrion and which are enzymes	
2015-09-22 17:42:29,569 NXQ_00036	0	270	Proteins that are oxidoreductases and that bind to NAD/NADP	
2015-09-22 17:42:29,599 NXQ_00037	0	465	Proteins that bind RNA but do not contain a RRM domain	
2015-09-22 17:42:29,611 NXQ_00038	0	26	Proteins with at least one selenocysteine in their sequence	
2015-09-22 17:42:29,651 NXQ_00039	0	392	Proteins with a mutagenesis in a position that correspond to an annotated active site	
2015-09-22 17:42:29,822 NXQ_00040	0	434	Proteins that are enzymes and with at least one mutagenesis site that decrease or abolish activity	
2015-09-22 17:42:29,903 NXQ_00041	0	344	Proteins that are annotated with GO "F" (function) terms prefixed by "Not"	
2015-09-22 17:42:30,177 NXQ_00042	0	693	Proteins that bind a metal and are secreted	
2015-09-22 17:42:30,636 NXQ_00043	0	1269	Proteins that bind zinc and are not oxidoreductase and not involved in transcription	
2015-09-22 17:42:35,668 NXQ_00044	5	93	Proteins involved in the Reactome pathway "Respiratory electron transport"	
2015-09-22 17:42:35,777 NXQ_00045	0	828	Proteins with an active site that is a proton acceptor	
2015-09-22 17:42:35,878 NXQ_00047	0	26	Proteins with a gene name that starts with "CLDN"	
2015-09-22 17:42:36,441 NXQ_00048	0	497	Proteins with at least one variant of the type "C->X" (Cys to anything else) that are linked to one or more diseases	
2015-09-22 17:42:36,897 NXQ_00049	0	16	Proteins with at least one variant of the types "A->R" or "R->A"	
2015-09-22 17:42:37,019 NXQ_00051	0	1808	Proteins that have at least one 3D structure solved by NMR	
2015-09-22 17:42:37,685 NXQ_00052	0	267	Proteins with a sequence that does not contain a lysine in the mature region	
2015-09-22 17:42:38,277 NXQ_00053	0	766	Proteins which are involved in cell adhesion according to GO with an evidence which is not used in automatic assertion nor a sequence similarity evidence used in manual assertion	
2015-09-22 17:42:38,307 NXQ_00054	0	89	Proteins which are "Receptor binding" according to GO and have the Swiss-Prot keyword "Immunity"	
2015-09-22 17:42:38,318 NXQ_00055	0	6	Proteins which have genes of length greater than 2 million bp	
2015-09-22 17:42:38,397 NXQ_00057	0	1050	Proteins that are located in the mitochondrion with an experimental evidence originating not from HPA or DKFZ-GFP	
2015-09-22 17:42:41,781 NXQ_00058	3	972	Proteins which are located on the genome next to a protein which is involved in spermatogenesis	
2015-09-22 17:42:44,743 NXQ_00059	2	80	Proteins that are glycosylated and phosphorylated on an extracellular topological domain	
2015-09-22 17:42:45,193 NXQ_00060	0	2559	Proteins which have one or more negatively charged residue in a transmembrane domain	
2015-09-22 17:42:45,396 NXQ_00061	0	1602	Proteins which have at least one 3D structure that spans the complete sequence of the mature protein	
2015-09-22 17:42:45,440 NXQ_00062	0	1804	Proteins which have at least one zinc finger of any subtype	
2015-09-22 17:42:45,526 NXQ_00063	0	77	Proteins that have at least one RRM RNA-binding domain and either no GO "RNA binding" or a GO "RNA binding" with evidence cv:ECO_0000501 or cv:ECO_0000250	
2015-09-22 17:42:45,602 NXQ_00064	0	1288	Proteins which are enzymes and that have an incomplete EC number	
2015-09-22 17:42:45,632 NXQ_00065	0	381	Proteins that have more than one catalytic activity	
2015-09-22 17:42:46,470 NXQ_00066	0	20	Proteins that are cytoplasmic with alternate O-glycosylation or phosphorylation at the same positions	
2015-09-22 17:42:46,787 NXQ_00067	0	563	Proteins with alternative acetylation or Ubl conjugation (SUMO or Ubiquitin) at the same positions	
2015-09-22 17:42:46,838 NXQ_00068	0	2046	Proteins with a protein existence "At transcript level" (PE=2)	
2015-09-22 17:42:47,261 NXQ_00069	0	53	Proteins phosphorylated by SRC	
2015-09-22 17:42:47,288 NXQ_00070	0	426	Proteins secreted but without a signal sequence	
2015-09-22 17:42:50,084 NXQ_00072	2	18568	Proteins with a cross-reference to CCDS	
2015-09-22 17:42:50,427 NXQ_00073	0	12204	Proteins with no known (annotated) domain	
2015-09-22 17:42:53,245 NXQ_00074	2	11493	Proteins belonging to a family with at least two members in the human proteome	
2015-09-22 17:43:01,808 NXQ_00075	8	4789	Proteins which have been detected in the HUPO liver proteome set but not the HUPO plasma proteome set	
2015-09-22 17:43:01,894 NXQ_00076	0	1260	Proteins which are located in mitochondrion and have at least one HPA antibody and exist in at least one proteome identification sets	
2015-09-22 17:43:09,595 NXQ_00077	7	4108	Proteins which are expressed in liver according to IHC data but not found in HUPO liver proteome set	
2015-09-22 17:43:09,764 NXQ_00078	0	1545	Proteins which have been identified in at least one proteomics set and that are secreted	
2015-09-22 17:43:09,860 NXQ_00079	0	3278	Proteins with at least one 3D structure and that are phosphorylated	
