timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1551112280150,14,Read accessions from file,200,OK,Get entry accessions from file 1-1,true,,0,0,1,1,null,0,1,0,0,0
1551112280190,18,Getting shared accessions,200,OK,Executing function view api calls 2-1,true,,0,0,1,1,null,0,1,0,0,0
1551112280259,185,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-1,true,,308435,226,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/GO-BIOLOGICAL-PROCESS.json,182,1,0,0,48
1551112280547,17,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-1,true,,237850,226,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/GO-MOLECULAR-FUNCTION.json,15,1,0,0,1
1551112280665,14,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,100148,218,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/FUNCTION-INFO.json,12,1,0,0,1
1551112280781,15,Xrefs,200,OK,Executing function view api calls 2-1,true,,1943,222,1,1,http://alpha-api.nextprot.org/page-view/function/NX_Q12983/xref.json,14,1,0,0,1
1551112280901,19,Overview,200,OK,Executing function view api calls 2-1,true,,4643,213,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/overview.json,19,1,0,0,1
1551112281022,13,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,100148,218,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/FUNCTION-INFO.json,12,1,0,0,1
1551112281137,10,CATALYTIC-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,82424,223,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/CATALYTIC-ACTIVITY.json,9,1,0,0,1
1551112281249,11,TRANSPORT-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,86595,223,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/TRANSPORT-ACTIVITY.json,11,1,0,0,1
1551112281362,13,ACTIVITY-REGULATION,200,OK,Executing function view api calls 2-1,true,,82424,224,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/ACTIVITY-REGULATION.json,12,1,0,0,1
1551112281476,10,COFACTOR,200,OK,Executing function view api calls 2-1,true,,82424,213,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/COFACTOR.json,9,1,0,0,1
1551112281587,18,COFACTOR-INFO,200,OK,Executing function view api calls 2-1,true,,82424,218,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/COFACTOR-INFO.json,17,1,0,0,7
1551112281707,19,BIOPHYSICOCHEMICAL-PROPERTY,200,OK,Executing function view api calls 2-1,true,,82424,232,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/BIOPHYSICOCHEMICAL-PROPERTY.json,18,1,0,0,1
1551112281827,10,PATHWAY,200,OK,Executing function view api calls 2-1,true,,86520,212,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/PATHWAY.json,8,1,0,0,1
1551112281938,9,ALLERGEN,200,OK,Executing function view api calls 2-1,true,,82424,213,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/ALLERGEN.json,9,1,0,0,1
1551112282049,9,CAUTION,200,OK,Executing function view api calls 2-1,true,,82424,212,1,1,http://alpha-api.nextprot.org/entry/NX_Q12983/CAUTION.json,8,1,0,0,1
1551112282159,167,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-1,true,,332749,226,1,1,http://alpha-api.nextprot.org/entry/NX_Q05586/GO-BIOLOGICAL-PROCESS.json,163,1,0,0,1
1551112282427,15,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-1,true,,195744,226,1,1,http://alpha-api.nextprot.org/entry/NX_Q05586/GO-MOLECULAR-FUNCTION.json,11,1,0,0,1
1551112282543,12,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,89720,218,1,1,http://alpha-api.nextprot.org/entry/NX_Q05586/FUNCTION-INFO.json,11,1,0,0,1
1551112282657,11,Xrefs,200,OK,Executing function view api calls 2-1,true,,2232,222,1,1,http://alpha-api.nextprot.org/page-view/function/NX_Q05586/xref.json,11,1,0,0,1
1551112282769,13,Overview,200,OK,Executing function view api calls 2-1,true,,13316,213,1,1,http://alpha-api.nextprot.org/entry/NX_Q05586/overview.json,13,1,0,0,1
1551112282883,13,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,89720,218,1,1,http://alpha-api.nextprot.org/entry/NX_Q05586/FUNCTION-INFO.json,12,1,0,0,1
1551112282997,10,CATALYTIC-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,39453,223,1,1,http://alpha-api.nextprot.org/entry/NX_Q05586/CATALYTIC-ACTIVITY.json,9,1,0,0,1
