timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1551111900815,15,Read accessions from file,200,OK,Get entry accessions from file 1-1,true,,0,0,1,1,null,0,1,0,0,0
1551111900856,16,Getting shared accessions,200,OK,Executing function view api calls 2-1,true,,0,0,1,1,null,0,1,0,0,0
1551111900923,78,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-1,true,,24033,226,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/GO-BIOLOGICAL-PROCESS.json,78,1,0,0,52
1551111901104,9,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-1,true,,23514,226,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/GO-MOLECULAR-FUNCTION.json,9,1,0,0,1
1551111901215,8,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,39335,218,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/FUNCTION-INFO.json,8,1,0,0,1
1551111901325,12,Xrefs,200,OK,Executing function view api calls 2-1,true,,867,222,1,1,http://alpha-api.nextprot.org/page-view/function/NX_P01737/xref.json,11,1,0,0,1
1551111901442,12,Overview,200,OK,Executing function view api calls 2-1,true,,4889,213,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/overview.json,12,1,0,0,1
1551111901556,9,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,39335,218,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/FUNCTION-INFO.json,8,1,0,0,1
1551111901666,9,CATALYTIC-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,12572,223,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/CATALYTIC-ACTIVITY.json,9,1,0,0,1
1551111901777,10,TRANSPORT-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,12572,223,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/TRANSPORT-ACTIVITY.json,10,1,0,0,1
1551111901889,8,ACTIVITY-REGULATION,200,OK,Executing function view api calls 2-1,true,,12572,224,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/ACTIVITY-REGULATION.json,8,1,0,0,1
1551111901998,8,COFACTOR,200,OK,Executing function view api calls 2-1,true,,12572,213,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/COFACTOR.json,8,1,0,0,1
1551111902108,7,COFACTOR-INFO,200,OK,Executing function view api calls 2-1,true,,12572,218,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/COFACTOR-INFO.json,7,1,0,0,0
