timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,SampleCount,ErrorCount,IdleTime,Connect
1551113134144,15,Read accessions from file,200,OK,Get entry accessions from file 1-1,true,,0,0,1,1,null,0,1,0,0,0
1551113134188,19,Getting shared accessions,200,OK,Executing function view api calls 2-1,true,,0,0,1,1,null,0,1,0,0,0
1551113134256,61,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-1,true,,24033,226,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/GO-BIOLOGICAL-PROCESS.json,61,1,0,0,38
1551113134420,9,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-1,true,,23514,226,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/GO-MOLECULAR-FUNCTION.json,9,1,0,0,1
1551113134530,9,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,39335,218,1,1,http://alpha-api.nextprot.org/entry/NX_P01737/FUNCTION-INFO.json,9,1,0,0,1
1551113134641,8,Xrefs,200,OK,Executing function view api calls 2-1,true,,867,222,1,1,http://alpha-api.nextprot.org/page-view/function/NX_P01737/xref.json,8,1,0,0,1
1551113134693,8,Getting shared accessions,200,OK,Executing function view api calls 2-2,true,,0,0,2,2,null,0,1,0,0,0
1551113134702,11,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-2,true,,24033,226,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/GO-BIOLOGICAL-PROCESS.json,10,1,0,0,1
1551113134755,10,Overview,200,OK,Executing function view api calls 2-1,true,,4889,213,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/overview.json,10,1,0,0,1
1551113134814,8,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-2,true,,23514,226,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/GO-MOLECULAR-FUNCTION.json,8,1,0,0,1
1551113134867,8,FUNCTION-INFO,200,OK,Executing function view api calls 2-1,true,,39335,218,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/FUNCTION-INFO.json,8,1,0,0,1
1551113134924,8,FUNCTION-INFO,200,OK,Executing function view api calls 2-2,true,,39335,218,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/FUNCTION-INFO.json,8,1,0,0,1
1551113134977,7,CATALYTIC-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,12572,223,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/CATALYTIC-ACTIVITY.json,7,1,0,0,1
1551113135034,7,Xrefs,200,OK,Executing function view api calls 2-2,true,,867,222,2,2,http://alpha-api.nextprot.org/page-view/function/NX_P01737/xref.json,7,1,0,0,1
1551113135085,8,TRANSPORT-ACTIVITY,200,OK,Executing function view api calls 2-1,true,,12572,223,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/TRANSPORT-ACTIVITY.json,7,1,0,0,1
1551113135142,8,Overview,200,OK,Executing function view api calls 2-2,true,,4889,213,2,2,http://alpha-api.nextprot.org/entry/NX_P01737/overview.json,8,1,0,0,1
1551113135194,7,ACTIVITY-REGULATION,200,OK,Executing function view api calls 2-1,true,,12572,224,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/ACTIVITY-REGULATION.json,7,1,0,0,1
1551113135205,10,Getting shared accessions,200,OK,Executing function view api calls 2-3,true,,0,0,3,3,null,0,1,0,0,0
1551113135215,8,GO-BIOLOGICAL-PROCESS,200,OK,Executing function view api calls 2-3,true,,24033,226,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/GO-BIOLOGICAL-PROCESS.json,8,1,0,0,1
1551113135251,9,FUNCTION-INFO,200,OK,Executing function view api calls 2-2,true,,39335,218,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/FUNCTION-INFO.json,8,1,0,0,1
1551113135302,6,COFACTOR,200,OK,Executing function view api calls 2-1,true,,12572,213,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/COFACTOR.json,5,1,0,0,1
1551113135324,7,GO-MOLECULAR-FUNCTION,200,OK,Executing function view api calls 2-3,true,,23514,226,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/GO-MOLECULAR-FUNCTION.json,7,1,0,0,1
1551113135361,6,CATALYTIC-ACTIVITY,200,OK,Executing function view api calls 2-2,true,,12572,223,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/CATALYTIC-ACTIVITY.json,6,1,0,0,0
1551113135409,5,COFACTOR-INFO,200,OK,Executing function view api calls 2-1,true,,12572,218,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/COFACTOR-INFO.json,5,1,0,0,0
1551113135432,9,FUNCTION-INFO,200,OK,Executing function view api calls 2-3,true,,39335,218,3,3,http://alpha-api.nextprot.org/entry/NX_P01737/FUNCTION-INFO.json,8,1,0,0,1
